,Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO
371,NVIDIA GeForce RTX 3060 Ti,3.34%,3.56%,3.68%,3.73%,3.86%,+0.13%
372,Other,9.44%,9.48%,9.92%,10.01%,10.06%,+0.05%
373,NVIDIA GeForce RTX 3070,3.14%,3.26%,3.21%,3.55%,3.50%,-0.05%
374,NVIDIA GeForce GTX 1650,6.58%,6.47%,6.10%,5.77%,5.58%,-0.19%
375,NVIDIA GeForce GTX 1660 SUPER,2.87%,2.85%,2.82%,2.79%,2.81%,+0.02%
376,NVIDIA GeForce GTX 1060,5.33%,5.30%,4.94%,5.02%,4.72%,-0.30%
377,NVIDIA GeForce GTX 1660 Ti,2.41%,2.35%,2.25%,2.21%,2.33%,+0.12%
378,NVIDIA GeForce RTX 2060,4.75%,4.84%,4.48%,4.48%,4.30%,-0.18%
379,NVIDIA GeForce GTX 1050,2.18%,2.12%,1.92%,1.91%,1.78%,-0.13%
380,NVIDIA GeForce GTX 1050 Ti,4.33%,4.10%,3.89%,3.82%,3.57%,-0.25%
381,NVIDIA GeForce GTX 1070,1.73%,1.67%,1.64%,1.75%,1.67%,-0.08%
382,NVIDIA GeForce RTX 3050,2.88%,2.98%,2.86%,2.67%,2.86%,+0.19%
383,NVIDIA GeForce RTX 2070 SUPER,1.56%,1.55%,1.50%,1.57%,1.54%,-0.03%
384,NVIDIA GeForce RTX 3080,2.07%,2.09%,2.18%,2.42%,2.45%,+0.03%
385,NVIDIA GeForce GTX 1660,1.50%,1.53%,3.54%,1.38%,1.28%,-0.10%
386,AMD Radeon Graphics,2.11%,2.19%,2.16%,2.26%,2.20%,-0.06%
387,NVIDIA GeForce RTX 2070,1.15%,1.13%,1.07%,1.16%,1.13%,-0.03%
388,NVIDIA GeForce RTX 4060 Laptop GPU,-,0.33%,0.87%,1.01%,1.77%,+0.76%
389,NVIDIA GeForce GTX 1080,1.06%,1.04%,1.02%,1.10%,1.07%,-0.03%
390,NVIDIA GeForce RTX 3070 Ti,1.46%,1.50%,1.53%,1.59%,1.64%,+0.05%
391,NVIDIA GeForce GTX 1650 Ti,1.21%,1.17%,1.07%,0.99%,0.98%,-0.01%
392,NVIDIA GeForce RTX 2060 SUPER,1.35%,1.38%,1.35%,1.39%,1.38%,-0.01%
393,NVIDIA GeForce RTX 4070 Ti,0.44%,0.49%,0.67%,0.74%,0.91%,+0.17%
